track_name,artist_name,COMB,artist_pop,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms
Like I Can,Sam Smith,Like I CanSam Smith,81,79,0.656,0.627,-6.627,0,7,0.0379,0.343,2.17E-05,0.124,0.481,99.933,4,167066
Miss Independent,Ne-Yo,Miss IndependentNe-Yo,77,65,0.668,0.673,-5.714,1,1,0.145,0.48,0,0.194,0.727,171.812,4,232000
Sweet but Psycho,Ava Max,Sweet but PsychoAva Max,79,80,0.72,0.706,-4.719,1,1,0.0473,0.0684,0,0.166,0.62,133.002,4,187436
WFM,RealestK,WFMRealestK,62,3,0.437,0.184,-17.667,1,1,0.0313,0.72,0.00253,0.113,0.247,80.088,4,136000
Die Young,Kesha,Die YoungKesha,76,78,0.711,0.7,-4.805,0,1,0.046,0.00498,0.000125,0.215,0.801,128.001,4,211920
Some,BOL4,SomeBOL4,62,72,0.659,0.799,-2.849,0,1,0.0629,0.417,0,0.0562,0.782,103.991,4,181373
Classic,MKTO,ClassicMKTO,66,64,0.72,0.79,-4.686,1,1,0.125,0.0383,0,0.156,0.755,102.068,4,175427
Where'd You Go (feat. Holly Brook & Jonah Matranga),Fort Minor,Where'd You Go (feat. Holly Brook & Jonah Matranga)Fort Minor,60,61,0.684,0.819,-3.309,0,1,0.238,0.262,0.00197,0.113,0.25,179.999,4,231867
Still into You,Paramore,Still into YouParamore,75,79,0.602,0.923,-3.763,1,5,0.044,0.0098,0,0.0561,0.765,136.01,4,216013
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida)David Guetta,86,72,0.666,0.876,-3.078,1,3,0.0414,0.055,0,0.259,0.552,129.884,4,194840
Toxic,BoyWithUke,ToxicBoyWithUke,76,5,0.594,0.612,-6.627,0,8,0.363,0.835,0,0.461,0.687,179.629,4,168020
Я буду ебать,Moreart,Я буду ебатьMoreart,46,64,0.811,0.712,-6.567,1,11,0.304,0.142,9.34E-05,0.148,0.497,203.918,4,141218
TWINNEM,Coi Leray,TWINNEMCoi Leray,65,57,0.885,0.353,-10.484,1,2,0.0912,0.0866,5.78E-05,0.173,0.316,134.079,4,117067
Might Be,DJ Luke Nasty,Might BeDJ Luke Nasty,48,49,0.448,0.782,-6.766,0,9,0.458,0.378,0,0.114,0.694,74.037,4,210704
Low (feat. T-Pain),Flo Rida,Low (feat. T-Pain)Flo Rida,77,80,0.918,0.609,-5.64,0,10,0.0791,0.0928,0,0.139,0.304,128.008,4,231400
Take You To Hell,Ava Max,Take You To HellAva Max,79,63,0.501,0.682,-4.664,0,0,0.0684,0.135,0,0.145,0.503,173.926,4,164537
True Love (feat. Lily Allen),P!nk,True Love (feat. Lily Allen)P!nk,79,71,0.457,0.823,-4.76,1,9,0.311,0.00144,0,0.108,0.578,192.205,4,230733
24-Jul,Celina Sharma,24/7Celina Sharma,52,67,0.704,0.638,-2.834,1,10,0.0742,0.385,0,0.0683,0.386,107.974,4,184478
In The Bible (with Lil Durk & Giveon),Drake,In The Bible (with Lil Durk & Giveon)Drake,95,72,0.686,0.385,-8.35,0,7,0.297,0.614,0,0.131,0.147,143.07,4,296568
Because Of You,Ne-Yo,Because Of YouNe-Yo,77,74,0.81,0.538,-5.784,0,0,0.0356,0.528,0,0.0951,0.828,109.97,4,266840
BOOM,Tiësto,BOOMTiësto,82,69,0.886,0.84,-3.386,1,2,0.0502,0.0164,0.00622,0.329,0.203,123.035,4,179512
放個大招給你看 (OPPO Reno 宣傳曲),Ryan.B,放個大招給你看 (OPPO Reno 宣傳曲)Ryan.B,46,54,0.704,0.576,-4.962,1,8,0.0967,0.654,0,0.0865,0.921,206.072,4,178720
Soap,Melanie Martinez,SoapMelanie Martinez,78,73,0.595,0.689,-6.107,0,6,0.148,0.254,5.44E-06,0.129,0.213,168.112,4,209427
California Gurls,Katy Perry,California GurlsKaty Perry,83,75,0.791,0.754,-3.729,1,0,0.0569,0.00446,0,0.163,0.425,125.014,4,234653
Insomnia,Craig David,InsomniaCraig David,65,59,0.62,0.884,-4.127,1,1,0.0441,0.00595,1.10E-06,0.201,0.594,125.39,4,207307
One Time,Justin Bieber,One TimeJustin Bieber,90,70,0.691,0.853,-2.528,0,1,0.0372,0.0631,7.13E-05,0.082,0.762,145.999,4,215867
Me Too,Meghan Trainor,Me TooMeghan Trainor,74,72,0.934,0.694,-5.849,0,11,0.101,0.0971,1.20E-06,0.477,0.833,123.831,4,181240
Infinity,Jaymes Young,InfinityJaymes Young,71,86,0.671,0.673,-6.941,0,11,0.0444,0.148,5.29E-05,0.304,0.494,121.963,4,237720
No Lie,Sean Paul,No LieSean Paul,79,83,0.742,0.882,-2.862,1,7,0.117,0.0466,0,0.206,0.463,102.04,4,221176
"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",DJ Snake,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)DJ Snake",77,76,0.8,0.837,-2.807,0,6,0.0491,0.00406,0.00313,0.0904,0.702,100.015,4,225600
Day 'n' Nite,Kid Cudi,Day 'n' NiteKid Cudi,81,62,0.88,0.445,-6.154,0,11,0.066,0.515,4.57E-06,0.102,0.787,138.048,4,222067
Up (feat. Demi Lovato),Olly Murs,Up (feat. Demi Lovato)Olly Murs,65,70,0.692,0.831,-5.389,1,9,0.034,0.0146,0,0.103,0.676,114.972,4,224294
Title,Meghan Trainor,TitleMeghan Trainor,74,73,0.779,0.754,-4.358,1,5,0.0966,0.343,2.60E-06,0.0965,0.883,89.998,4,174733
Style,Taylor Swift,StyleTaylor Swift,93,79,0.588,0.791,-5.595,1,7,0.0402,0.00245,0.00258,0.118,0.487,94.933,4,231000
Every Summertime,NIKI,Every SummertimeNIKI,75,81,0.628,0.676,-4.227,1,6,0.0424,0.393,6.94E-05,0.0978,0.723,78.996,4,215687
Snowman,Sia,SnowmanSia,82,74,0.716,0.512,-6.257,1,1,0.0331,0.483,0,0.0928,0.326,104.957,3,165907
Se Acabó la Cuarentena,Jowell & Randy,Se Acabó la CuarentenaJowell & Randy,69,62,0.886,0.605,-4.311,1,6,0.109,0.00127,0.0167,0.0767,0.646,122.052,4,166971
Hips Don't Lie (feat. Wyclef Jean),Shakira,Hips Don't Lie (feat. Wyclef Jean)Shakira,85,83,0.778,0.824,-5.892,0,10,0.0707,0.284,0,0.405,0.758,100.024,4,218093
Save Your Tears,The Weeknd,Save Your TearsThe Weeknd,93,88,0.68,0.826,-5.487,1,0,0.0309,0.0212,1.24E-05,0.543,0.644,118.051,4,215627
I Wanna Love You,Akon,I Wanna Love YouAkon,79,14,0.865,0.45,-9.387,1,0,0.0417,0.0359,1.28E-06,0.308,0.352,99.989,4,247067
All I Wanna Do,Jay Park,All I Wanna DoJay Park,67,66,0.613,0.668,-6.867,1,8,0.267,0.245,0,0.0735,0.509,96.176,4,209393
Ain't Your Mama,Jennifer Lopez,Ain't Your MamaJennifer Lopez,75,71,0.757,0.678,-5.529,0,8,0.233,0.0472,9.14E-06,0.0654,0.82,120.075,4,218235
Teenage Dream,Katy Perry,Teenage DreamKaty Perry,83,70,0.719,0.798,-4.582,1,10,0.0361,0.0162,2.34E-06,0.134,0.591,120.011,4,227741
Like A G6,Far East Movement,Like A G6Far East Movement,65,74,0.435,0.837,-8.126,1,3,0.449,0.00676,0,0.117,0.778,124.913,4,216893
Love Me,Justin Bieber,Love MeJustin Bieber,90,68,0.729,0.868,-3.319,1,3,0.0609,0.00939,0,0.283,0.632,124.957,4,191573
Baby,Justin Bieber,BabyJustin Bieber,90,81,0.728,0.859,-5.237,0,5,0.137,0.0401,0,0.111,0.535,65.043,4,214240
Favorite Girl,Justin Bieber,Favorite GirlJustin Bieber,90,72,0.581,0.681,-4.469,1,7,0.0435,0.0472,0,0.104,0.634,176.034,4,256800
Love Tonight - David Guetta Remix Edit,Shouse,Love Tonight - David Guetta Remix EditShouse,71,81,0.621,0.989,-4.225,0,10,0.0434,0.015,0.357,0.184,0.0348,126.002,4,158095
Ghost,Justin Bieber,GhostJustin Bieber,90,89,0.601,0.741,-5.569,1,2,0.0478,0.185,2.91E-05,0.415,0.441,153.96,4,153190
Polaroid Love,ENHYPEN,Polaroid LoveENHYPEN,75,79,0.738,0.67,-3.766,0,7,0.0439,0.458,0,0.361,0.651,138.055,4,184602
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,Save Your Tears (with Ariana Grande) (Remix)The Weeknd,93,84,0.65,0.825,-4.645,1,0,0.0325,0.0215,2.44E-05,0.0936,0.593,118.091,4,191014
We Found Love,Rihanna,We Found LoveRihanna,87,77,0.734,0.766,-4.485,1,1,0.0383,0.025,0.00138,0.108,0.6,127.986,4,215227
Panda,Desiigner,PandaDesiigner,63,67,0.685,0.731,-5.503,0,10,0.414,0.0292,0,0.369,0.266,145.245,4,247867
Upside Down,JVKE,Upside DownJVKE,71,65,0.88,0.501,-6.774,1,2,0.062,0.0494,0.0695,0.436,0.459,120.038,4,114500
lowkey,NIKI,lowkeyNIKI,75,76,0.752,0.494,-8.18,1,0,0.0559,0.432,0,0.0869,0.227,117.901,4,171356
Desce Pro Play (PA PA PA),ZAAC,Desce Pro Play (PA PA PA)ZAAC,60,64,0.935,0.71,-5.085,0,11,0.158,0.0769,1.92E-06,0.173,0.635,100.009,4,168507
